GID_0,NAME_0,GID_1,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,NO2_mean,O3_max,PM25_RH35_GCC_mean
BLZ,Belize,BLZ.6_1,Toledo,,,District,District,,BZ.TO,0.09536232948303222,31.548551559448242,7.766360473632813
BMU,Bermuda,BMU.1_1,Devonshire,,,Parish,Parish,,BM.DE,0.44503363966941833,24.88377571105957,2.890338659286499
BMU,Bermuda,BMU.2_1,Hamilton,,,Parish,Parish,,BM.HA,0.44503363966941833,24.88377571105957,2.890338659286499
BMU,Bermuda,BMU.3_1,Hamilton Municipality,,,Municipality,Municipality,,BM.HC,0.44503363966941833,24.88377571105957,2.890338659286499
BMU,Bermuda,BMU.4_1,Paget,,,Parish,Parish,,BM.PA,0.44503363966941833,24.88377571105957,2.890338659286499
BMU,Bermuda,BMU.5_1,Pembroke,,,Parish,Parish,,BM.PE,0.44503363966941833,24.88377571105957,2.890338659286499
BMU,Bermuda,BMU.6_1,Saint George's,Saint Georges,,Parish,Parish,,BM.SC,0.2925724983215332,24.88377571105957,2.8772363662719727
BMU,Bermuda,BMU.7_1,Saint George municipality,Saint Georges|Saint George's,,Municipality,Municipality,,BM.SG,0.2925724983215332,24.88377571105957,2.8772363662719727
BMU,Bermuda,BMU.8_1,Sandys,Sandy's,,Parish,Parish,,BM.SA,0.23467865586280823,24.88377571105957,2.7746567726135254
BMU,Bermuda,BMU.9_1,Smiths,Smith's,,Parish,Parish,,BM.SM,0.44503363966941833,24.88377571105957,2.890338659286499
BMU,Bermuda,BMU.10_1,Southampton,,,Parish,Parish,,BM.SO,0.23467865586280823,24.88377571105957,2.7746567726135254
BMU,Bermuda,BMU.11_1,Warwick,,,Parish,Parish,,BM.WA,0.44503363966941833,24.88377571105957,2.890338659286499
BOL,Bolivia,BOL.1_1,Chuquisaca,,,Departamento,Department,,BO.CQ,0.2973561017018444,59.72106170654297,6.898991422833137
BOL,Bolivia,BOL.2_1,Cochabamba,,,Departamento,Department,,BO.CB,0.4401728193336558,60.419551849365234,10.168415960864486
BOL,Bolivia,BOL.3_1,El Beni,,,Departamento,Department,,BO.EB,0.6544861269668794,78.23109436035156,19.421795224471833
BOL,Bolivia,BOL.4_1,La Paz,,,Departamento,Department,,BO.LP,0.3143164801490681,62.747859954833984,14.569254922225337
BOL,Bolivia,BOL.5_1,Oruro,,,Departamento,Department,,BO.OR,0.18791648319789342,63.097103118896484,3.514027498206314
BOL,Bolivia,BOL.6_1,Pando,colonial territories|madre de dios|territorio nacional de colonias,,Departamento,Department,,BO.PA,0.2614933568188268,39.93045425415039,21.63987797142094
BOL,Bolivia,BOL.7_1,Potosí,,,Departamento,Department,,BO.PO,0.20284828363462937,63.67918014526367,3.300535406068314
BOL,Bolivia,BOL.8_1,Santa Cruz,,,Departamento,Department,,BO.SC,0.8017655647291481,62.86427307128906,15.132000153734348
BOL,Bolivia,BOL.9_1,Tarija,,,Departamento,Department,,BO.TR,0.35528288389507096,59.13900375366211,7.087428845857319
BRA,Brazil,BRA.1_1,Acre,,,Estado,State,,BR.AC,0.0905839055776596,33.64402770996094,16.369169235229492
BRA,Brazil,BRA.2_1,Alagoas,,,Estado,State,,BR.AL,0.6609283197121542,28.085195541381836,3.2224966580750514
