iso_a3,country,data_source,sector,gas,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ETH,Ethiopia,CAIT,Total including LUCF,All GHG,MtCO₂e,94.1,95.87,98.4,93.88,96.28,98.44,102.16,107.08,113.73,115.5,112.72,119.19,128.94,127.6,129.96,133.69,138.98,149.46,154.15,158.63,163.85,166.05,173.67,180.17,188.21,193.58,199.92,203.35,204.67
PER,Peru,CAIT,Total including LUCF,All GHG,MtCO₂e,103.85,102.62,103.48,104.65,107.18,111.96,115.54,116.84,117.11,121.44,122.09,125.32,127.36,127.3,131.65,133.19,132.8,136.81,141.47,145.59,149.77,177.04,177.42,178.81,182.2,183.85,187.96,185.87,186.18
NLD,Netherlands,CAIT,Total including LUCF,All GHG,MtCO₂e,205.44,210.79,210.18,215.69,215.43,220.82,231.75,222.95,223.08,210.62,208.55,209.35,208.85,208.78,210.34,204.7,200.03,199.91,197.69,192.44,203.24,190.26,188.48,188.06,180.75,189.7,189.52,185.91,179.99
TZA,Tanzania,CAIT,Total including LUCF,All GHG,MtCO₂e,102.75,103.0,103.0,103.0,104.0,108.0,101.0,101.0,105.0,104.74,102.02,107.46,113.58,122.55,122.48,128.97,124.27,127.09,130.35,133.03,136.69,140.84,148.15,152.42,155.92,164.65,176.81,175.49,175.57
SDN,Sudan,CAIT,Total including LUCF,All GHG,MtCO₂e,73.23,74.13,77.76,79.7,84.18,85.38,89.75,97.46,104.16,107.8,107.06,95.03,100.32,103.26,105.75,110.72,109.78,115.25,116.38,118.35,116.64,116.09,120.84,121.16,122.35,125.99,130.01,129.91,130.64
BOL,Bolivia,CAIT,Total including LUCF,All GHG,MtCO₂e,104.98,105.78,107.6,109.37,111.44,111.02,111.71,112.74,113.75,119.22,109.82,89.29,95.21,92.79,104.92,100.75,102.56,107.32,102.42,101.39,122.67,111.42,111.8,111.88,112.39,115.51,126.36,125.32,126.21
TKM,Turkmenistan,CAIT,Total including LUCF,All GHG,MtCO₂e,79.18,69.95,56.19,53.18,57.44,59.38,56.92,57.69,59.91,66.86,69.8,72.84,77.22,84.38,88.86,89.34,89.75,94.27,94.4,86.13,91.9,101.66,108.94,114.27,119.77,126.15,125.94,125.62,125.08
AGO,Angola,CAIT,Total including LUCF,All GHG,MtCO₂e,65.18,65.85,66.17,66.96,67.1,71.47,73.33,71.74,79.62,77.65,73.29,95.49,100.57,111.24,114.92,115.14,114.99,121.86,123.39,128.34,133.35,133.54,133.21,135.41,136.5,139.09,138.85,137.32,124.59
CMR,Cameroon,CAIT,Total including LUCF,All GHG,MtCO₂e,71.93,71.62,71.57,75.74,132.18,132.22,132.5,133.37,137.23,136.42,137.82,123.34,123.4,126.14,123.97,126.78,125.1,126.33,126.48,126.55,127.86,119.25,118.77,120.1,120.46,121.47,122.84,122.84,123.33
ZWE,Zimbabwe,CAIT,Total including LUCF,All GHG,MtCO₂e,43.18,43.48,44.29,40.75,40.49,40.35,42.27,41.44,42.75,45.06,42.23,43.14,40.16,37.49,37.39,37.86,36.73,37.26,35.35,36.27,39.3,42.04,42.36,42.42,40.84,42.89,116.52,116.09,118.77
CZE,Czech Republic,CAIT,Total including LUCF,All GHG,MtCO₂e,172.9,156.17,151.72,147.0,139.71,139.69,141.3,138.79,132.16,124.05,134.68,136.91,131.29,135.63,136.18,133.11,134.09,137.06,132.0,124.37,127.45,128.14,124.74,119.45,116.73,118.65,118.28,118.3,117.03
KWT,Kuwait,CAIT,Total including LUCF,All GHG,MtCO₂e,32.05,38.74,26.33,32.97,37.81,38.22,37.79,39.28,45.51,49.76,53.58,57.48,60.42,63.0,67.15,75.23,78.24,77.91,82.71,85.46,89.21,93.58,97.45,100.55,100.31,106.21,109.84,111.46,112.97
MOZ,Mozambique,CAIT,Total including LUCF,All GHG,MtCO₂e,84.89,84.87,85.21,85.61,85.58,85.82,71.6,69.33,72.05,70.86,68.48,86.39,86.48,91.4,90.39,95.09,93.89,96.0,100.92,95.68,104.37,93.75,97.79,99.38,99.78,98.9,107.78,106.39,110.07
BEL,Belgium,CAIT,Total including LUCF,All GHG,MtCO₂e,126.81,131.76,129.84,127.66,133.02,133.19,138.55,135.36,138.13,134.27,134.3,135.68,128.4,131.78,130.35,126.49,123.51,118.84,121.18,114.12,121.44,109.82,109.23,110.5,104.09,109.16,110.52,108.41,108.91
TCD,Chad,CAIT,Total including LUCF,All GHG,MtCO₂e,24.94,31.37,32.25,33.22,34.21,35.24,38.44,40.17,44.74,46.58,46.87,50.83,55.04,59.23,62.44,65.92,67.2,69.47,69.93,69.99,73.18,84.86,88.03,89.7,92.23,97.44,100.19,102.15,105.06
